driver_id,date,delays_minutes,behavioral_problems,violations_count,accidents_count,rating,route_id,vehicle_id,shift
D001,2025-01-01,19,1,0,0,4.36,R01,V16,afternoon
D001,2025-01-02,19,0,1,0,4.15,R01,V16,morning
D001,2025-01-03,21,0,1,0,4.56,R01,V16,afternoon
D001,2025-01-04,24,0,0,0,4.49,R01,V16,night
D001,2025-01-05,18,0,0,0,4.26,R01,V16,morning
D001,2025-01-06,31,1,1,0,4.3,R01,V16,morning
D001,2025-01-07,17,0,0,0,4.49,R01,V16,night
D001,2025-01-08,23,0,0,0,4.71,R01,V16,afternoon
D001,2025-01-09,22,0,0,0,4.53,R01,V16,morning
D001,2025-01-10,17,0,0,0,4.18,R01,V16,afternoon
D001,2025-01-11,16,0,0,0,4.35,R01,V16,afternoon
D001,2025-01-12,22,0,1,0,4.07,R01,V16,night
D001,2025-01-13,27,0,0,0,4.53,R01,V16,morning
D001,2025-01-14,17,0,0,0,4.23,R01,V16,afternoon
D001,2025-01-15,27,0,0,1,3.61,R01,V16,night
D001,2025-01-16,19,0,0,0,4.13,R01,V16,morning
D001,2025-01-17,24,0,0,0,4.36,R01,V16,afternoon
D001,2025-01-18,19,0,0,0,4.72,R01,V16,morning
D001,2025-01-19,21,0,1,0,4.27,R01,V16,morning
D001,2025-01-20,28,0,0,0,4.47,R01,V16,night
D001,2025-01-21,21,0,0,0,4.29,R01,V16,morning
D001,2025-01-22,14,0,0,0,4.5,R01,V16,morning
D001,2025-01-23,23,0,0,0,4.21,R01,V16,morning
D001,2025-01-24,18,0,1,1,3.72,R01,V16,afternoon
D001,2025-01-25,29,2,0,0,4.42,R01,V16,morning
D001,2025-01-26,20,0,1,0,4.63,R01,V16,night
D001,2025-01-27,24,0,1,0,4.08,R01,V16,morning
D001,2025-01-28,20,0,0,0,4.55,R01,V16,morning
D001,2025-01-29,14,0,0,0,4.38,R01,V16,morning
D001,2025-01-30,23,0,0,0,4.34,R01,V16,night
D001,2025-01-31,20,0,1,0,4.37,R01,V16,morning
D001,2025-02-01,13,1,0,1,3.56,R01,V16,afternoon
D001,2025-02-02,24,0,0,0,3.97,R01,V16,afternoon
D001,2025-02-03,30,0,0,0,4.6,R01,V16,afternoon
D001,2025-02-04,22,0,0,0,4.19,R01,V16,night
D001,2025-02-05,13,1,0,0,4.4,R01,V16,night
D001,2025-02-06,28,0,0,0,4.34,R01,V16,night
D001,2025-02-07,15,0,0,0,4.51,R01,V16,morning
D001,2025-02-08,20,0,1,0,4.74,R01,V16,afternoon
D001,2025-02-09,19,0,0,0,4.66,R01,V16,afternoon
D001,2025-02-10,20,1,2,0,4.2,R01,V16,night
D001,2025-02-11,20,0,0,0,4.48,R01,V16,afternoon
D001,2025-02-12,14,0,0,0,4.62,R01,V16,night
D001,2025-02-13,18,1,0,0,4.66,R01,V16,morning
D001,2025-02-14,20,0,0,0,4.43,R01,V16,morning
D001,2025-02-15,23,0,0,0,4.64,R01,V16,morning
D001,2025-02-16,13,0,0,0,4.21,R01,V16,morning
D001,2025-02-17,29,0,2,0,4.25,R01,V16,night
D001,2025-02-18,21,0,0,0,4.5,R01,V16,afternoon
D001,2025-02-19,14,0,0,0,4.33,R01,V16,afternoon
D001,2025-02-20,22,0,1,0,4.28,R01,V16,morning
D001,2025-02-21,19,1,0,0,4.59,R01,V16,morning
D001,2025-02-22,14,0,0,0,4.35,R01,V16,afternoon
D001,2025-02-23,19,0,0,0,4.51,R01,V16,morning
D001,2025-02-24,37,0,0,1,3.84,R01,V16,morning
D001,2025-02-25,22,0,1,0,4.35,R01,V16,morning
D001,2025-02-26,22,0,0,0,4.15,R01,V16,night
D001,2025-02-27,25,1,2,0,4.05,R01,V16,morning
D001,2025-02-28,14,0,1,0,4.05,R01,V16,morning
D001,2025-03-01,17,0,1,0,4.43,R01,V16,morning
D001,2025-03-02,26,0,0,0,4.18,R01,V16,afternoon
D001,2025-03-03,33,1,0,0,4.07,R01,V16,afternoon
D001,2025-03-04,23,0,1,0,4.7,R01,V16,morning
D001,2025-03-05,14,0,0,0,4.44,R01,V16,morning
D001,2025-03-06,19,0,0,0,4.33,R01,V16,morning
D001,2025-03-07,20,0,0,0,4.36,R01,V16,afternoon
D001,2025-03-08,22,0,1,0,4.83,R01,V16,night
D001,2025-03-09,28,0,0,0,4.22,R01,V16,afternoon
